Suburb,Rooms,Type,Price,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Regionname,Propertycount
Albert Park,2,h,1275000.0,3/09/2016,3.3,3206,2.0,1.0,0,120.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,2850000.0,4/03/2017,3.3,3206,3.0,2.0,0,211.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,1850000.0,4/03/2017,3.3,3206,3.0,2.0,0,128.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,2,h,1436000.0,4/03/2017,3.3,3206,2.0,1.0,0,130.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,2,h,1110000.0,6/08/2016,3.3,3206,1.0,1.0,0,147.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,4,h,2300000.0,7/05/2016,3.3,3206,4.0,2.0,1,153.0,1880.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,1800000.0,7/11/2016,3.3,3206,3.0,2.0,1,132.0,1996.0,Port Phillip,Southern Metropolitan,3280
Albert Park,2,h,2120000.0,10/09/2016,3.3,3206,2.0,1.0,1,199.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,1800000.0,10/09/2016,3.3,3206,3.0,2.0,1,90.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,2615000.0,10/12/2016,3.3,3206,3.0,2.0,1,177.0,1880.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,1370000.0,12/06/2016,3.3,3206,3.0,2.0,2,0.0,2000.0,Port Phillip,Southern Metropolitan,3280
Albert Park,2,h,1322500.0,15/10/2016,3.3,3206,2.0,1.0,0,149.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,2,h,1562500.0,15/10/2016,3.3,3206,2.0,1.0,0,141.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,2000000.0,16/04/2016,3.3,3206,3.0,2.0,1,211.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,1900000.0,18/03/2017,3.3,3206,3.0,1.0,0,209.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,3010000.0,18/03/2017,3.3,3206,3.0,2.0,0,147.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,4,h,2800000.0,18/06/2016,3.3,3206,4.0,3.0,1,327.0,1910.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,2100000.0,23/04/2016,3.3,3206,2.0,1.0,1,120.0,1900.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,2000000.0,24/09/2016,3.3,3206,3.0,1.0,1,238.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,1,u,442500.0,25/02/2017,3.3,3206,1.0,1.0,0,0.0,1970.0,Port Phillip,Southern Metropolitan,3280
Albert Park,4,h,4735000.0,25/02/2017,3.3,3206,4.0,2.0,1,330.0,1910.0,Port Phillip,Southern Metropolitan,3280
Albert Park,4,h,2140000.0,27/06/2016,3.3,3206,3.0,2.0,1,183.0,1880.0,Port Phillip,Southern Metropolitan,3280
Albert Park,2,h,980000.0,28/05/2016,3.3,3206,2.0,1.0,0,79.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,3,h,1740000.0,28/08/2016,3.3,3206,3.0,2.0,2,147.0,1890.0,Port Phillip,Southern Metropolitan,3280
Albert Park,1,h,985000.0,30/07/2016,3.3,3206,1.0,1.0,0,81.0,1900.0,Port Phillip,Southern Metropolitan,3280
Alphington,4,h,2000000.0,3/09/2016,6.4,3078,3.0,2.0,4,853.0,1930.0,Darebin,Northern Metropolitan,2211
Alphington,3,h,1110000.0,3/09/2016,6.4,3078,3.0,2.0,2,208.0,2013.0,Yarra,Northern Metropolitan,2211
Alphington,4,h,1717500.0,8/10/2016,6.4,3078,4.0,2.0,1,599.0,1925.0,Darebin,Northern Metropolitan,2211
Alphington,5,h,2840000.0,12/06/2016,6.4,3078,5.0,4.0,4,809.0,1910.0,Darebin,Northern Metropolitan,2211
Alphington,2,u,525500.0,12/11/2016,6.4,3078,2.0,1.0,1,88.0,1960.0,Darebin,Northern Metropolitan,2211
Alphington,2,t,805000.0,12/11/2016,6.4,3078,2.0,2.0,3,155.0,2004.0,Darebin,Northern Metropolitan,2211
Alphington,4,h,1830000.0,19/11/2016,6.4,3078,4.0,2.0,2,606.0,1970.0,Darebin,Northern Metropolitan,2211
Alphington,4,h,2100000.0,19/11/2016,6.4,3078,4.0,2.0,2,575.0,2008.0,Darebin,Northern Metropolitan,2211
Alphington,3,h,865000.0,22/05/2016,6.4,3078,3.0,1.0,1,180.0,2010.0,Darebin,Northern Metropolitan,2211
Alphington,2,u,390000.0,22/05/2016,6.4,3078,2.0,1.0,1,0.0,1960.0,Darebin,Northern Metropolitan,2211
Alphington,2,u,512000.0,25/02/2017,6.4,3078,2.0,1.0,1,0.0,1965.0,Darebin,Northern Metropolitan,2211
Alphington,4,h,1900000.0,27/11/2016,6.4,3078,4.0,2.0,2,556.0,1930.0,Yarra,Northern Metropolitan,2211
Alphington,4,h,1950000.0,30/07/2016,6.4,3078,4.0,2.0,3,589.0,1920.0,Darebin,Northern Metropolitan,2211
Altona,3,h,520000.0,3/09/2016,13.8,3018,3.0,2.0,1,352.0,2015.0,Hobsons Bay,Western Metropolitan,5301
Altona,5,h,1525000.0,3/12/2016,13.8,3018,5.0,3.0,3,729.0,2005.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,t,720000.0,4/02/2016,13.8,3018,2.0,1.0,2,292.0,2013.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,h,1120000.0,4/03/2017,13.8,3018,3.0,1.0,2,506.0,1930.0,Hobsons Bay,Western Metropolitan,5301
Altona,4,h,1780000.0,4/06/2016,13.8,3018,4.0,3.0,6,1057.0,1962.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,u,630000.0,6/08/2016,13.8,3018,2.0,1.0,2,311.0,1955.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,h,660000.0,7/05/2016,13.8,3018,3.0,1.0,1,602.0,1955.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,u,580000.0,8/10/2016,13.8,3018,2.0,1.0,1,225.0,1988.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,h,1335000.0,8/10/2016,13.8,3018,3.0,1.0,4,777.0,1953.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,t,800000.0,8/10/2016,13.8,3018,3.0,2.0,2,280.0,1997.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,u,510000.0,10/09/2016,13.8,3018,2.0,1.0,1,127.0,1990.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,u,425000.0,10/09/2016,13.8,3018,2.0,1.0,2,115.0,1980.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,u,391000.0,11/02/2017,13.8,3018,2.0,1.0,1,0.0,1965.0,Hobsons Bay,Western Metropolitan,5301
Altona,4,h,845000.0,11/02/2017,13.8,3018,4.0,1.0,2,745.0,1950.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,u,730000.0,13/08/2016,13.8,3018,3.0,2.0,1,69.0,2014.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,h,635000.0,14/05/2016,13.8,3018,3.0,1.0,4,625.0,1960.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,u,447000.0,15/10/2016,13.8,3018,2.0,1.0,1,137.0,1990.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,h,678000.0,16/04/2016,13.8,3018,3.0,1.0,2,606.0,1950.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,u,580000.0,16/07/2016,13.8,3018,2.0,2.0,1,175.0,2013.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,h,840000.0,18/03/2017,13.8,3018,3.0,2.0,2,534.0,1965.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,u,577000.0,23/04/2016,13.8,3018,3.0,2.0,1,205.0,2007.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,h,857000.0,27/11/2016,13.8,3018,2.0,2.0,1,675.0,1950.0,Hobsons Bay,Western Metropolitan,5301
Altona,3,u,730000.0,28/05/2016,13.8,3018,3.0,2.0,1,70.0,2014.0,Hobsons Bay,Western Metropolitan,5301
Altona,4,h,931000.0,28/08/2016,13.8,3018,4.0,2.0,3,532.0,1970.0,Hobsons Bay,Western Metropolitan,5301
Altona,2,h,535600.0,30/07/2016,13.8,3018,2.0,1.0,1,154.0,1996.0,Hobsons Bay,Western Metropolitan,5301
Altona North,5,h,1085000.0,3/09/2016,11.1,3025,5.0,3.0,6,592.0,1965.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,781000.0,3/09/2016,11.1,3025,3.0,1.0,2,533.0,1970.0,Hobsons Bay,Western Metropolitan,5132
Altona North,2,t,421000.0,4/03/2017,11.1,3025,2.0,1.0,1,77.0,2009.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,683000.0,4/06/2016,11.1,3025,3.0,1.0,2,534.0,1967.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,720000.0,6/08/2016,11.1,3025,3.0,2.0,1,0.0,2012.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,588000.0,7/05/2016,11.1,3025,3.0,1.0,1,328.0,1970.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,710000.0,7/11/2016,11.1,3025,3.0,1.0,3,540.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,4,h,875000.0,8/10/2016,11.1,3025,3.0,1.0,4,559.0,1965.0,Hobsons Bay,Western Metropolitan,5132
Altona North,2,t,640000.0,11/03/2017,11.1,3025,2.0,1.0,1,252.0,1965.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,675000.0,14/05/2016,11.1,3025,3.0,2.0,2,171.0,2012.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,708000.0,15/10/2016,11.1,3025,3.0,1.0,2,585.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,4,h,693000.0,22/05/2016,11.1,3025,4.0,2.0,4,315.0,2008.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,620000.0,22/08/2016,11.1,3025,5.0,2.0,2,276.0,2010.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,728500.0,22/08/2016,11.1,3025,3.0,1.0,1,531.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,931000.0,22/08/2016,11.1,3025,3.0,2.0,1,590.0,1950.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,988000.0,22/08/2016,11.1,3025,3.0,1.0,4,715.0,2008.0,Hobsons Bay,Western Metropolitan,5132
Altona North,3,h,815000.0,25/02/2017,11.1,3025,3.0,2.0,3,555.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,4,h,1200000.0,27/11/2016,11.1,3025,4.0,1.0,4,633.0,1960.0,Hobsons Bay,Western Metropolitan,5132
Altona North,2,u,292000.0,28/08/2016,11.1,3025,2.0,1.0,1,153.0,1970.0,Hobsons Bay,Western Metropolitan,5132
Armadale,2,u,599000.0,3/09/2016,6.3,3143,2.0,1.0,1,0.0,1964.0,Stonnington,Southern Metropolitan,4836
Armadale,3,u,995000.0,3/12/2016,6.3,3143,3.0,2.0,2,0.0,1998.0,Stonnington,Southern Metropolitan,4836
Armadale,3,t,1205000.0,3/12/2016,6.3,3143,3.0,2.0,2,101.0,2000.0,Stonnington,Southern Metropolitan,4836
Armadale,3,h,1939000.0,3/12/2016,6.3,3143,3.0,2.0,2,296.0,1889.0,Stonnington,Southern Metropolitan,4836
Armadale,3,h,1870000.0,4/03/2017,6.3,3143,3.0,1.0,1,217.0,1888.0,Stonnington,Southern Metropolitan,4836
Armadale,3,t,1918000.0,4/03/2017,6.3,3143,3.0,2.0,2,0.0,1995.0,Stonnington,Southern Metropolitan,4836
Armadale,3,h,2050000.0,4/03/2017,6.3,3143,3.0,2.0,1,205.0,1910.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,3625000.0,4/06/2016,6.3,3143,3.0,2.0,2,0.0,2006.0,Stonnington,Southern Metropolitan,4836
Armadale,4,h,3000000.0,4/06/2016,6.3,3143,4.0,2.0,2,1581.0,1934.0,Stonnington,Southern Metropolitan,4836
Armadale,3,u,735000.0,7/05/2016,6.3,3143,3.0,2.0,1,2113.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,645000.0,8/10/2016,6.3,3143,3.0,1.0,1,0.0,1960.0,Stonnington,Southern Metropolitan,4836
Armadale,1,h,1435000.0,8/10/2016,6.3,3143,2.0,2.0,1,144.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,1,u,280000.0,10/09/2016,6.3,3143,1.0,1.0,1,0.0,1975.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,592500.0,10/12/2016,6.3,3143,2.0,1.0,1,0.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,2,h,1210000.0,12/11/2016,6.3,3143,2.0,1.0,0,249.0,1910.0,Stonnington,Southern Metropolitan,4836
Armadale,4,h,2801000.0,12/11/2016,6.3,3143,4.0,2.0,2,624.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,3,h,1800000.0,15/10/2016,6.3,3143,3.0,2.0,2,405.0,1910.0,Stonnington,Southern Metropolitan,4836
Armadale,4,h,2200000.0,15/10/2016,6.3,3143,4.0,1.0,2,495.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,6,h,5525000.0,17/09/2016,6.3,3143,5.0,3.0,4,1491.0,1935.0,Stonnington,Southern Metropolitan,4836
Armadale,1,u,440000.0,18/03/2017,6.3,3143,1.0,1.0,1,0.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,490000.0,18/06/2016,6.3,3143,2.0,1.0,1,0.0,1966.0,Stonnington,Southern Metropolitan,4836
Armadale,3,h,1300000.0,18/06/2016,6.3,3143,2.0,1.0,2,212.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,704000.0,19/11/2016,6.3,3143,2.0,1.0,1,0.0,1969.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,620000.0,19/11/2016,6.3,3143,3.0,1.0,1,0.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,3,h,1900000.0,22/05/2016,6.3,3143,3.0,1.0,2,328.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,710000.0,25/02/2017,6.3,3143,2.0,1.0,1,2471.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,872000.0,25/02/2017,6.3,3143,2.0,1.0,1,1194.0,1953.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,598000.0,25/02/2017,6.3,3143,2.0,1.0,1,0.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,3,h,1285000.0,25/02/2017,6.3,3143,3.0,1.0,2,186.0,1920.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,520000.0,27/06/2016,6.3,3143,1.0,1.0,1,0.0,1970.0,Stonnington,Southern Metropolitan,4836
Armadale,4,h,3625000.0,27/11/2016,6.3,3143,4.0,1.0,2,709.0,1900.0,Stonnington,Southern Metropolitan,4836
Armadale,4,h,4200000.0,27/11/2016,6.3,3143,4.0,3.0,3,563.0,2000.0,Stonnington,Southern Metropolitan,4836
Armadale,3,t,1101000.0,27/11/2016,6.3,3143,3.0,1.0,2,103.0,2000.0,Stonnington,Southern Metropolitan,4836
Armadale,3,h,3512500.0,27/11/2016,6.3,3143,3.0,2.0,2,617.0,1998.0,Stonnington,Southern Metropolitan,4836
Armadale,3,u,869000.0,28/05/2016,6.3,3143,2.0,1.0,1,0.0,1940.0,Stonnington,Southern Metropolitan,4836
Armadale,1,u,567000.0,28/08/2016,6.3,3143,1.0,1.0,1,0.0,2013.0,Stonnington,Southern Metropolitan,4836
Armadale,2,u,471500.0,30/07/2016,6.3,3143,2.0,1.0,1,0.0,1980.0,Stonnington,Southern Metropolitan,4836
Ascot Vale,3,h,940000.0,3/12/2016,5.9,3032,3.0,1.0,2,298.0,1920.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,u,467000.0,3/12/2016,5.9,3032,2.0,1.0,1,0.0,1980.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,1380000.0,4/03/2017,5.9,3032,3.0,2.0,2,277.0,1910.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,u,490000.0,4/03/2017,5.9,3032,2.0,1.0,1,423.0,1970.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,4,h,1850000.0,4/03/2017,5.9,3032,4.0,3.0,1,478.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,1284000.0,4/03/2017,5.9,3032,3.0,1.0,2,623.0,1938.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,971000.0,4/06/2016,5.9,3032,3.0,2.0,2,285.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,h,710000.0,4/06/2016,5.9,3032,2.0,1.0,1,214.0,1890.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,6,h,2425000.0,4/06/2016,5.9,3032,6.0,3.0,2,1014.0,1887.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,h,750000.0,4/06/2016,5.9,3032,2.0,1.0,1,226.0,1920.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,h,1053000.0,6/08/2016,5.9,3032,2.0,1.0,1,269.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,1377000.0,6/08/2016,5.9,3032,3.0,1.0,1,417.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,970000.0,7/05/2016,5.9,3032,3.0,1.0,2,350.0,1904.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,h,751000.0,7/05/2016,5.9,3032,2.0,1.0,1,118.0,1890.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,h,950000.0,7/05/2016,5.9,3032,2.0,1.0,1,173.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,u,685000.0,7/11/2016,5.9,3032,2.0,1.0,2,228.0,1995.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,1230000.0,8/10/2016,5.9,3032,4.0,1.0,2,594.0,1960.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,h,770000.0,10/09/2016,5.9,3032,2.0,1.0,1,226.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,960000.0,10/12/2016,5.9,3032,3.0,2.0,2,229.0,2011.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,4,h,890000.0,10/12/2016,5.9,3032,4.0,1.0,1,300.0,1890.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,1440000.0,11/02/2017,5.9,3032,3.0,1.0,1,487.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,u,450000.0,12/11/2016,5.9,3032,2.0,1.0,1,0.0,2010.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,801000.0,12/11/2016,5.9,3032,3.0,1.0,2,431.0,1950.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,1000000.0,12/11/2016,5.9,3032,3.0,2.0,2,440.0,1955.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,1435000.0,12/11/2016,5.9,3032,3.0,2.0,2,532.0,1950.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,1,u,390000.0,12/11/2016,5.9,3032,1.0,1.0,1,0.0,1972.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,1425000.0,13/08/2016,5.9,3032,3.0,2.0,2,495.0,1920.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,4,h,1340000.0,14/05/2016,5.9,3032,3.0,2.0,2,683.0,1978.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,3,h,955000.0,14/05/2016,5.9,3032,3.0,1.0,1,263.0,1910.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,4,h,1100000.0,15/10/2016,5.9,3032,4.0,2.0,5,559.0,1920.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,u,432000.0,15/10/2016,5.9,3032,2.0,1.0,1,0.0,1978.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,4,h,1640000.0,16/04/2016,5.9,3032,4.0,3.0,2,562.0,1890.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,6,h,1430000.0,16/04/2016,5.9,3032,4.0,2.0,1,461.0,1900.0,Moonee Valley,Western Metropolitan,6567
Ascot Vale,2,u,610000.0,16/04/2016,5.9,3032,2.0,1.0,1,301.0,1995.0,Moonee Valley,Western Metropolitan,6567
