Company Name,Description,Headquarters,Founded,Annual Revenue,Glassdoor Score
Tempus Labs,Best for Precision Medicine, Illinois,2015.0,231.0,3.25
AVEVA,Best for Asset Performance, United Kingdom,1984.375,1550.0,3.95
Bright Machines,Best for Software-Defined Manufacturing, California,2018.0,77.7,3.65
Dataiku,Best for Democratizing AI, New York,2013.0,230.0,3.75
DataRobot,Best for Automated Machine Learning (AutoML), Massachusetts,2012.0,176.0,3.75
DataToBiz,Best for Data-Driven Decision-Making, United Kingdom,2018.0,5.0,4.85
Domino Data Lab,Best for Predictive Maintenance, United Kingdom,2013.0,18.0,3.75
Graphcore,Best for IPU Architecture, United Kingdom,2016.0,2.7,3.9456521739130435
N5 Sensors,Best for Detecting Chemical Threats and Accidents, Maryland,2012.0,7.0,3.95
SenseTime,Best for Facial Recognition,Hong Kong,2014.0,500.0,3.65
Agility Robotics,Best for Developing Agile and Mobile Robots, Oregon,2015.0,14.7,3.75
Boston Dynamics,Best for Research and Development, Massachusetts,1992.0,27.6,4.75
Diligent Robotics,Best for Healthcare Data Integration and Analysis, Texas,2017.0,34.0,3.15
Honeybee Robotics,Best for Developing Robotic Systems for Challenging Environments, Colorado,1984.375,36.2,3.75
iRobot,Best for Consumer and Military Robotic Solutions, Massachusetts,1990.0,1560.0,3.75
Skydio,Best for Autonomous Drone Solutions, California,2014.0,196.2,4.75
"AEye, Inc.",Best for Adaptive Sensing, California,2013.0,2.5,4.15
Anduril Industries,Best for Advanced Defense Technology, California,2017.0,342.0,4.35
Nuro,Best for Driverless Operation, California,2016.0,438.8,3.85
Pony.ai,Best for Robotruck Development, California,2016.0,100.0,3.45
Tesla,Best for Electric Vehicles, Texas,2003.0,96770.0,3.65
Waymo,Best for Experience and Testing, California,2016.0,1400.0,3.75
Zoox,Best for Robotaxi Services, California,2014.0,897.1,3.95
